id,artiste,titre,genre,contexte_temporel,contexte_meteo,contexte_activite,contexte_emotionnel,contexte_social,contexte_lieu,bpm_estime,energie,valence,danceability,acousticness,instrumentalness,speechiness,liveness,notes
2PBTwMH2mzfLigdMyPzOcp,2 LIVE CREW,Pop That P--sy,pop,weekend,chaud,cuisine,joyeux,couple,cafe,125,0.757,0.934,0.799,0.632,0.198,0.052,0.331,7.4
1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,pop,weekend,ensoleille,sport,joyeux,amis,salle_sport,137,0.725,0.95,0.71,0.568,0.184,0.053,0.112,8.2
3wn8nOygkHLUQ9dlXM1rKW,Yeat,Poppin,pop,weekend,chaud,sport,joyeux,amis,exterieur,152,0.856,0.909,0.908,0.344,0.308,0.093,0.266,7.9
1Y3Z8ZgjFse47Nt2ZR4EFU,NCT WISH,poppop,pop,journee,neutre,conduite,motive,couple,voiture,120,0.765,0.703,0.745,0.626,0.128,0.088,0.192,8.5
2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,Big Poppa - 2005 Remaster,pop,apres_midi,chaud,detente,romantique,couple,restaurant,137,0.675,0.804,0.651,0.522,0.282,0.068,0.121,8.7
0PvFJmanyNQMseIFrU708S,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),pop,apres_midi,ensoleille,cuisine,neutre,amis,plage,124,0.679,0.942,0.698,0.464,0.152,0.075,0.105,8.2
7K8XoQXZBffc4xG2xIQHMO,Black Eyed Peas,Rock That Body,rock,journee,neutre,sport,motive,groupe,exterieur,151,0.795,0.777,0.723,0.745,0.32,0.105,0.055,8.5
1TE8AAk9koG0UJco6ZAUfx,Bailey Zimmerman,Rock and A Hard Place,rock,journee,neutre,sport,motive,groupe,salle_sport,147,0.83,0.688,0.688,0.38,0.079,0.082,0.142,8.7
1AWQoqb9bSvzTjaLralEkT,Justin Timberlake,Rock Your Body,rock,journee,neutre,sport,neutre,amis,salle_sport,156,0.95,0.557,0.853,0.235,0.026,0.04,0.222,8.5
74hXqhE6afQeZFPNcG0M6Q,Black Eyed Peas,Rock That Body,rock,journee,neutre,sport,motive,amis,exterieur,169,0.95,0.626,0.859,0.39,0.365,0.106,0.229,8.1
6n9yCXvLhnYMgJIiIcMu7D,Nickelback,Rockstar,rock,journee,neutre,sport,neutre,amis,exterieur,161,0.95,0.592,0.835,0.549,0.231,0.08,0.33,8.1
2Q5wSOwq6BDSu7sSVMNrtT,The B-52's,Rock Lobster,rock,journee,ensoleille,sport,energique,groupe,salle_sport,169,0.95,0.779,0.95,0.543,0.014,0.08,0.152,7.9
3gdewACMIVMEWVbyb8O9sY,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",rock,journee,chaud,sport,energique,groupe,exterieur,152,0.95,0.766,0.896,0.495,0.397,0.063,0.052,8.5
1esmJ8t2PRbYt2yMx2aSEW,Jack O’Connell,Rocky Road to Dublin,rock,journee,neutre,sport,neutre,amis,exterieur,152,0.907,0.573,0.776,0.676,0.395,0.114,0.144,8.3
45sDIKapDyxPl307QpEAwl,Far East Movement,Rocketeer,rock,journee,ensoleille,sport,energique,amis,salle_sport,161,0.856,0.713,0.8,0.558,0.239,0.05,0.186,8.3
0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),rock,journee,neutre,sport,neutre,groupe,exterieur,134,0.817,0.563,0.787,0.372,0.117,0.082,0.318,8.8
49Gl1IylRVeiBBjBP0dCzW,Black Eyed Peas,Rock That Body - Chris Lake Remix,rock,journee,ensoleille,sport,energique,amis,exterieur,167,0.932,0.749,0.93,0.364,0.37,0.087,0.054,7.4
5QSiHPOYNCmpbwwMQyOGA6,The Osborne Brothers,Rocky Top,rock,journee,ensoleille,sport,energique,groupe,exterieur,150,0.818,0.749,0.814,0.586,0.065,0.098,0.064,7.7
7oOOI85fVQvVnK5ynNMdW7,Michael Jackson,Rock with You - Single Version,rock,journee,neutre,sport,motive,groupe,exterieur,140,0.761,0.742,0.633,0.379,0.384,0.051,0.161,8.7
56KqaFSGTb7ifpt16t5Y1N,The Clash,Rock the Casbah - Remastered,rock,journee,neutre,sport,motive,amis,salle_sport,153,0.935,0.69,0.802,0.296,0.006,0.081,0.271,8.2
05tlUh0E6IFks9sCQguQKN,Nickelback,Rockstar - 2020 Remaster,rock,journee,neutre,sport,motive,amis,exterieur,155,0.88,0.631,0.843,0.665,0.38,0.079,0.122,8.6
7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR (feat. Roddy Ricch),rock,journee,neutre,sport,neutre,groupe,salle_sport,142,0.839,0.587,0.722,0.464,0.273,0.109,0.107,8.6
58XWGx7KNNkKneHdprcprX,Scorpions,Rock You Like A Hurricane,rock,journee,neutre,sport,motive,groupe,exterieur,150,0.93,0.677,0.849,0.449,0.009,0.043,0.196,8.3
7iXYRR70wewzVYzWScm99j,Bill Conti,"Gonna Fly Now - Theme From ""Rocky""",rock,journee,neutre,sport,neutre,groupe,salle_sport,165,0.863,0.568,0.779,0.432,0.016,0.093,0.23,8.2
6YOfGIE6iFxC7G8OlGGvzW,Junior H,ROCKSTAR,rock,journee,neutre,sport,neutre,groupe,salle_sport,152,0.95,0.6,0.732,0.277,0.11,0.056,0.05,8.4
1ne9wOtDF2jM6Cm8WBkaER,John Denver,Rocky Mountain High,rock,journee,neutre,sport,motive,groupe,salle_sport,160,0.95,0.66,0.928,0.403,0.337,0.052,0.08,8.2
7sdHMJvhKib3ReVPsZFbrf,Ken Carson,Rock N Roll,rock,journee,neutre,sport,neutre,groupe,exterieur,158,0.9,0.562,0.749,0.384,0.314,0.081,0.069,8.2
4FlYcJnfkeBpowEHJ72Bmt,Bobby Day,Rockin' Robin,rock,journee,neutre,sport,neutre,amis,salle_sport,169,0.903,0.547,0.814,0.44,0.303,0.051,0.132,7.9
6dXjUMjFxfAX4F2dHKqQzf,Stepz,Rock,rock,journee,ensoleille,sport,energique,amis,salle_sport,166,0.921,0.76,0.733,0.448,0.322,0.064,0.168,8.2
2XHjFJVXYlEzoDvN82h8s5,Joe Walsh,Rocky Mountain Way,rock,journee,neutre,sport,motive,amis,exterieur,160,0.939,0.672,0.79,0.625,0.172,0.088,0.052,8.0
190l7oYBQe6JBsWPJM2uNN,Wesley Willis,Rock N Roll McDonalds,rock,journee,neutre,sport,motive,amis,exterieur,134,0.764,0.614,0.679,0.376,0.152,0.047,0.232,7.9
2u2olzUT4gYEwpPDOOK4ld,The Dubliners,The Rocky Road to Dublin,rock,journee,neutre,sport,motive,groupe,salle_sport,138,0.771,0.795,0.709,0.675,0.046,0.106,0.312,7.6
3fvY2U1AzW0diYF0hnBbKt,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),rock,journee,neutre,sport,neutre,amis,salle_sport,163,0.921,0.502,0.706,0.255,0.385,0.042,0.269,7.7
1ITQbrueGLl581a25XXm9c,The Beatles,Rocky Raccoon - Remastered 2009,rock,journee,neutre,sport,motive,groupe,exterieur,130,0.73,0.673,0.617,0.626,0.232,0.056,0.061,8.2
1orVKbp6vqtfAPOmvRofVq,Steve Miller Band,Rock'n Me,rock,journee,neutre,sport,motive,amis,exterieur,158,0.95,0.671,0.922,0.379,0.188,0.068,0.11,8.2
0ZlkiExC24SoytNUsnKmN2,Electronic Medium,The Subway,electronic,journee,chaud,sport,energique,amis,exterieur,144,0.856,0.724,0.884,0.41,0.487,0.021,0.203,7.6
4ok1TfaMUQhp3zwwA3o3rt,Brothel in Belize,Electronica,electronic,journee,neutre,sport,motive,amis,exterieur,135,0.777,0.671,0.647,0.586,0.769,0.07,0.086,7.8
3jLdAQ7guhHOppAj02RJmW,Chinese Football,Electronic Girl,electronic,weekend,ensoleille,sport,joyeux,amis,salle_sport,146,0.95,0.822,0.848,0.456,0.539,0.061,0.157,7.1
4tNtBl6Y9TcInf3HNrOfJs,Electronic Gems,Breakthrough,electronic,journee,neutre,loisir,neutre,famille,maison,129,0.797,0.561,0.684,0.444,0.677,0.057,0.25,7.4
18e4G6ufZ2K3wH9CM374t1,Dj Distro,LA MONJA - Remix,pop,apres_midi,neutre,detente,romantique,couple,restaurant,122,0.691,0.656,0.773,0.53,0.134,0.106,0.192,8.2
2viJufnGlsjR1X51CEHpeg,k?d,Electronic Memories (feat. Mickey Kojak),electronic,journee,neutre,sport,motive,groupe,salle_sport,141,0.95,0.676,0.831,0.311,0.683,0.079,0.188,7.1
1cZcQDZzx940vWz9PFRY20,Electronic,Getting Away with It - 2013 Remaster,electronic,weekend,ensoleille,sport,joyeux,groupe,exterieur,157,0.858,0.812,0.894,0.566,0.524,0.039,0.162,7.6
0r73CwUNcBg7GxMtPV6hbl,Musica Electronica Fuerte,Electronica Con Mucho Bajo,electronic,journee,neutre,sport,motive,amis,salle_sport,138,0.865,0.682,0.721,0.319,0.783,0.032,0.257,7.1
2EcsgXlxz99UMDSPg5T8RF,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),pop,journee,chaud,sport,energique,groupe,exterieur,152,0.89,0.752,0.808,0.647,0.034,0.104,0.271,8.1
0gEfOLXhV2aRy5l8Nb22h7,Electronic Visions,Tales of Forgotten Biomes,electronic,journee,ensoleille,sport,energique,groupe,exterieur,145,0.95,0.702,0.832,0.448,0.408,0.079,0.086,7.2
3GJlhu1SfJCCBpFo4aiIxb,Jon Kennedy,Electronic Sound Pictures,electronic,journee,neutre,sport,neutre,amis,exterieur,145,0.95,0.597,0.856,0.519,0.771,0.062,0.21,7.4
7mHr69kU0Wig5cw7PG8I0G,Electronic Gems,Sanctuary,electronic,journee,neutre,sport,motive,groupe,exterieur,130,0.752,0.747,0.723,0.628,0.512,0.074,0.215,7.5
4GnZr9MZvLlOKj4k0wkYV5,Breathe Electric,Electronic Lover,electronic,journee,neutre,sport,motive,amis,exterieur,151,0.943,0.628,0.856,0.235,0.452,0.068,0.327,7.1
4mLKUq9iKqLKimKGHZRpkb,Kid Cecille,Electronic Rhythm,electronic,journee,ensoleille,sport,energique,amis,exterieur,153,0.95,0.733,0.808,0.625,0.768,0.052,0.219,7.1
0YZ7Q5i99vt9OEF8AEEaBV,Electronic,Getting Away with It,electronic,journee,chaud,sport,energique,groupe,salle_sport,149,0.856,0.729,0.797,0.341,0.687,0.061,0.343,7.5
3fWZObJDFUGnah8Q7ukiT4,Slayyyter,Erotic Electronic,electronic,journee,neutre,sport,motive,groupe,exterieur,138,0.897,0.687,0.778,0.472,0.738,0.073,0.35,7.7
123MdNEzpQhlSyEvyFNQ2x,Electronic Gems,Eternal,electronic,journee,neutre,sport,neutre,groupe,salle_sport,155,0.95,0.559,0.788,0.29,0.476,0.021,0.064,6.9
7DAXfp0cSOTnUjhxrbtSOi,アトラスサウンドチーム,Electronica In Velvet Room,electronic,journee,chaud,sport,energique,amis,exterieur,142,0.95,0.77,0.827,0.552,0.686,0.041,0.182,7.1
1Q2WPcHRVK16zh9TR6isEq,Omega,Merengue Electronico (Rompe Consola),electronic,journee,neutre,sport,motive,groupe,exterieur,157,0.863,0.635,0.845,0.486,0.645,0.037,0.302,8.1
4UtG2YGIpQIR9QFDXxJQFr,Electronic,Get the Message - 2013 Remaster,electronic,journee,neutre,sport,neutre,groupe,salle_sport,143,0.809,0.581,0.815,0.415,0.823,0.073,0.264,7.7
0vZCG0H9KhtU7K8MEUVAoV,DVBBS,Tsunami,pop,journee,chaud,sport,energique,amis,exterieur,152,0.892,0.712,0.88,0.536,0.386,0.102,0.301,8.2
7K7UO1s5HHIAqQ3tGFVtCJ,Electronic Visions,Saltwater,electronic,journee,neutre,sport,neutre,groupe,salle_sport,142,0.886,0.572,0.715,0.585,0.874,0.078,0.097,6.9
3oTzvWsWa5v91cI5LsqhyE,Cirillo Jr,Electronic,electronic,journee,chaud,sport,energique,amis,salle_sport,153,0.95,0.794,0.806,0.462,0.573,0.02,0.282,6.9
6GOjvqMPGoejvJXy2j1Eb4,CIRCA96,Electronic Malfunction,electronic,journee,neutre,sport,motive,amis,salle_sport,150,0.857,0.689,0.739,0.382,0.581,0.029,0.112,7.6
3grDj0Lwfx8pBgXxnUJHwa,Electronic Gems,Diamond Dust,electronic,journee,chaud,sport,energique,groupe,exterieur,150,0.86,0.767,0.835,0.537,0.525,0.06,0.236,7.0
6xGgDE7TSvGwhOKBdv9dMH,DJ Energy,Electronic,electronic,journee,neutre,sport,motive,groupe,exterieur,151,0.938,0.66,0.853,0.415,0.41,0.068,0.108,6.6
3gtUhq0nuXIFYFOspRIBf4,DC The Don,ELECTRONICS,electronic,journee,neutre,sport,motive,amis,exterieur,150,0.9,0.608,0.764,0.601,0.622,0.057,0.277,7.2
3HjuK1sd2n9AMWlxvWFZRU,Electronic Visions,Space Groove,electronic,journee,chaud,sport,energique,amis,salle_sport,144,0.95,0.779,0.802,0.548,0.736,0.026,0.273,6.9
0K5dMpBtt4W8n46f5tbhRi,A'Gun,Electronic,electronic,weekend,chaud,sport,joyeux,groupe,exterieur,139,0.927,0.839,0.95,0.566,0.519,0.044,0.309,6.7
0H72o8QdyYc57jNkvYwfAX,Michael Bibi,Sungazing - Electronic Mix,electronic,weekend,chaud,sport,joyeux,groupe,exterieur,138,0.924,0.82,0.866,0.317,0.609,0.055,0.219,7.7
5o2qUhHH1MtFfmfv3Xshxs,Electronic Visions,Night Rain,electronic,weekend,ensoleille,sport,joyeux,amis,exterieur,139,0.934,0.811,0.931,0.371,0.874,0.049,0.103,6.8
4rfswfCBaiHFSOwtq5hEGY,Electronic Visions,Sustain,electronic,journee,chaud,sport,energique,groupe,salle_sport,138,0.95,0.755,0.849,0.372,0.733,0.036,0.264,6.8
60LquBpq63rSQKfarZpQqa,Uneekint,Electronic,electronic,journee,neutre,sport,motive,groupe,salle_sport,156,0.95,0.663,0.95,0.546,0.498,0.034,0.136,6.7
3k3QGyFyA5qrT5BLqeU1Ss,N-Trance,Stayin' Alive,pop,apres_midi,chaud,detente,romantique,couple,maison,123,0.64,0.841,0.631,0.601,0.119,0.062,0.263,7.8
4LWN0BmnOXL3U30MTLcMxj,Electro Hippies,Am I Punk Yet?,pop,apres_midi,ensoleille,detente,romantique,couple,restaurant,124,0.633,0.866,0.754,0.782,0.217,0.092,0.207,6.9
0Z6fnBHUEUu1ik22d5Sa4U,Jamix Project,Electronic,electronic,journee,neutre,conduite,motive,amis,voiture,125,0.8,0.633,0.78,0.544,0.886,0.058,0.202,7.1
25dAjY6eOu4LTsBYfraOKA,ziproom,Electronica,electronic,weekend,ensoleille,sport,joyeux,amis,exterieur,138,0.8,0.826,0.819,0.611,0.558,0.068,0.227,7.4
1eyvwXpWaJA2U7Y4LhkMeP,Electronic Visions,Head Room,electronic,journee,neutre,loisir,neutre,seul,cafe,126,0.779,0.559,0.639,0.73,0.628,0.08,0.106,7.1
6JPEajiHrrpX0agtsJzNQJ,5ht the Band,Electronic,electronic,journee,neutre,sport,motive,groupe,salle_sport,138,0.751,0.655,0.72,0.74,0.44,0.024,0.138,6.5
4CBAKSus371zX1icqqyyUC,Dada Life,Electronic Circus Weapon,electronic,journee,neutre,sport,motive,amis,salle_sport,142,0.794,0.671,0.81,0.486,0.558,0.029,0.235,7.7
0t5LNjml8LTuAPiEfD7zFN,Lil Wayne,"Hip-Hop (feat. BigXthaPlug, Jay Jones)",hip_hop,journee,neutre,cuisine,motive,couple,maison,97,0.833,0.628,0.789,0.725,0.006,0.294,0.344,8.5
0VUpkue1T9WZF2LtUqJbDY,Chamillionaire,Hip Hop Police - Main,hip_hop,journee,neutre,loisir,neutre,amis,exterieur,88,0.736,0.569,0.675,0.557,0.076,0.284,0.316,7.6
1SyQ6t9RdRBK0QUCS6a797,Naughty By Nature,Hip Hop Hooray,hip_hop,journee,neutre,conduite,motive,amis,voiture,103,0.756,0.682,0.585,0.553,0.171,0.383,0.174,8.4
0twitsJEQTQXzkGwerCOtj,Lil Wayne,"Hip-Hop (feat. BigXthaPlug, Jay Jones)",hip_hop,journee,neutre,loisir,neutre,groupe,cafe,119,0.858,0.476,0.804,0.524,0.099,0.363,0.167,7.5
4BaFzlfU0xvG19fP4muTVw,Hopsin,Hip Hop Sinister,hip_hop,journee,neutre,loisir,neutre,famille,maison,113,0.854,0.507,0.652,0.371,0.082,0.346,0.234,6.8
0AqaHGj4lZpkjnokeLssTr,Lil Wayne,"Hip-Hop (feat. BigXthaPlug, Jay Jones)",hip_hop,nuit,pluvieux,loisir,nostalgique,seul,maison,85,0.643,0.465,0.58,0.725,0.195,0.313,0.334,7.4
0rzSU1pxAyRyrrog5rKA2q,Mary Rice Hopkins,Hip Hip Hooray - Hippopotamus,pop,journee,ensoleille,sport,energique,groupe,salle_sport,151,0.852,0.773,0.919,0.46,0.314,0.038,0.143,7.1
2HoDr1yVksl19omOhc1zWy,Dead Prez,Hip-Hop,hip_hop,journee,neutre,cuisine,motive,amis,cafe,107,0.766,0.704,0.825,0.523,0.137,0.199,0.342,8.3
2KYz0yd96BLvtfWOsA1EQe,Lil Wayne,"Hip-Hop (feat. BigXthaPlug, Jay Jones)",hip_hop,apres_midi,neutre,detente,romantique,couple,restaurant,88,0.669,0.665,0.763,0.634,0.115,0.253,0.132,7.9
7eChRaYIQxR7pNIR3W07dC,Niontay,"Real hiphop - feat. Earl Sweatshirt, El Cousteau, & MIKE",pop,journee,chaud,sport,energique,amis,salle_sport,140,0.826,0.708,0.822,0.512,0.184,0.065,0.086,7.4
6N3oYlfZ2RPdjMYdHCRmFS,Lupe Fiasco,Hip-Hop Saved My Life (feat. Nikki Jean),hip_hop,apres_midi,neutre,conduite,neutre,famille,voiture,93,0.611,0.658,0.692,0.471,0.124,0.376,0.342,8.0
15bWai5BbeAsF6I0S4kAoK,Lil Wayne,"Hip-Hop (feat. BigXthaPlug, Jay Jones)",hip_hop,apres_midi,neutre,loisir,neutre,seul,maison,105,0.665,0.597,0.607,0.793,0.013,0.271,0.16,7.1
73FW5GNSOspgU6SaSA3Wbw,Shordie Shordie,OkOk,pop,journee,chaud,sport,energique,groupe,exterieur,140,0.88,0.75,0.918,0.544,0.091,0.094,0.198,7.3
7iF9B5dbSOfEeznArGFHhn,Nas,Hip Hop Is Dead,hip_hop,apres_midi,neutre,loisir,neutre,amis,exterieur,100,0.661,0.454,0.585,0.54,0.125,0.285,0.327,7.4
21NALHsloDI31T781jDMFw,Man Parrish,Hip Hop Be Bop (Original Version),hip_hop,apres_midi,neutre,loisir,neutre,amis,cafe,106,0.676,0.593,0.591,0.536,0.033,0.383,0.289,7.6
4c9XojqJDu7KNCh8GmNbj5,BTS,Hip Hop Phile,hip_hop,apres_midi,neutre,detente,romantique,couple,restaurant,108,0.698,0.608,0.676,0.732,0.029,0.248,0.247,8.3
4gQdwwPXSXnDkUh4jYqLoC,Mos Def,Hip Hop,hip_hop,journee,neutre,cuisine,motive,famille,maison,90,0.763,0.682,0.746,0.385,0.148,0.315,0.219,8.0
7yIUQW4kutkoxSWKjU7OPK,Sir Mix-A-Lot,Hip Hop Soldier,hip_hop,journee,chaud,conduite,energique,couple,voiture,119,0.814,0.724,0.797,0.615,0.17,0.322,0.255,6.9
7JsoM9xf0Uc8tTHVnkVOio,Blac Youngsta,Hip Hopper (feat. Lil Yachty),hip_hop,apres_midi,neutre,cuisine,neutre,amis,restaurant,97,0.602,0.62,0.572,0.489,0.124,0.226,0.152,7.5
72nLaDnt2dfxCA3ZAiEC2c,Nas,Still Dreaming,pop,journee,neutre,sport,motive,amis,salle_sport,136,0.744,0.741,0.793,0.701,0.049,0.031,0.207,8.5
1MbmAKJKSGTNdOHMEY3E35,Masta Killa,Hip Hop Forever,hip_hop,journee,neutre,conduite,motive,famille,voiture,109,0.895,0.602,0.757,0.357,0.07,0.366,0.21,7.2
6GWqwdGYwEfwv0caDQj082,Chamillionaire,Hip Hop Police - Main,hip_hop,journee,neutre,cuisine,motive,amis,cafe,124,0.807,0.675,0.82,0.479,0.072,0.331,0.214,7.3
1RDWInwkweEF3VeupchGkD,Don Toliver,TORE UP,pop,journee,neutre,cuisine,motive,amis,cafe,123,0.717,0.669,0.749,0.504,0.293,0.103,0.152,7.7
7sZDbHZiuHEzS00vzCuhqS,The Sugarhill Gang,Rapper's Delight,pop,apres_midi,ensoleille,detente,romantique,couple,maison,126,0.671,0.921,0.703,0.781,0.041,0.042,0.194,7.5
0980UI5CLrD7qcq6MXtJNe,Hiphopkarma,Family,pop,apres_midi,chaud,detente,romantique,couple,maison,135,0.616,0.924,0.651,0.752,0.183,0.077,0.087,6.3
6EuhBJTydNXXtqBQ32lag5,Trinix Remix,Hip Hop,hip_hop,journee,neutre,loisir,neutre,amis,restaurant,97,0.705,0.58,0.614,0.514,0.012,0.192,0.08,8.1
0cvFbuRH6mkKHIijebkU8I,Jazz Liberatorz,I Am Hip Hop - Feat. Asheru,hip_hop,apres_midi,neutre,detente,romantique,couple,restaurant,98,0.685,0.702,0.781,0.602,0.017,0.181,0.182,7.6
3xI2BX87nRys1ENw1Zl0El,DJ Khaled,Hip Hop,hip_hop,journee,neutre,loisir,neutre,amis,cafe,108,0.826,0.462,0.672,0.421,0.031,0.347,0.199,7.0
3mE8EhNxCynKpuhU8EY6e1,Guts,Hip Hop First of All,hip_hop,nuit,pluvieux,loisir,nostalgique,famille,cafe,86,0.624,0.457,0.5,0.69,0.043,0.32,0.109,7.2
1UCVgSDDlH4vJ0jI4txWXP,Static-X,Hip Hop,hip_hop,nuit,pluvieux,loisir,nostalgique,famille,maison,108,0.67,0.467,0.632,0.616,0.008,0.189,0.185,7.3
3KKrZ3adgWcJiJQWFqoDnv,Nice & Smooth,Hip Hop Junkies,hip_hop,journee,neutre,conduite,motive,couple,voiture,105,0.751,0.715,0.646,0.639,0.015,0.396,0.226,7.4
4P5nMkajJUyZI6Jd81iMqx,Young Mozart,Hip-Hop Waltz in G Flat Minor,hip_hop,journee,neutre,conduite,motive,groupe,voiture,101,0.775,0.631,0.804,0.689,0.088,0.243,0.27,7.3
3ns5F35L1KaoKmOO8Ar8fk,Joell Ortiz,Hip Hop,hip_hop,journee,chaud,fete,energique,groupe,club,123,0.82,0.709,0.863,0.67,0.126,0.323,0.28,7.2
3LBBeej1zGctWlJNpNa4I6,Portugal. The Man,Hip Hop Kids,hip_hop,journee,neutre,loisir,neutre,famille,maison,110,0.892,0.524,0.765,0.315,0.113,0.246,0.251,7.2
0JPzG00AY7hNVu8sauadAu,Chamillionaire,Hip Hop Police,hip_hop,journee,neutre,loisir,neutre,amis,cafe,93,0.788,0.571,0.731,0.602,0.109,0.197,0.127,7.4
55WwvU3TsXYXaOisjxwJYT,August Alsina,Hip Hop,hip_hop,journee,neutre,conduite,motive,couple,voiture,102,0.763,0.605,0.753,0.725,0.186,0.172,0.327,7.5
